1	896	863	29	19
2	367	315	15	26
3	53	233	21	25
4	581	238	13	24
5	677	75	17	17
6	130	597	21	12
7	362	788	29	11
8	139	784	27	12
9	18	968	16	25
10	690	473	10	15
11	791	508	26	24
12	648	35	12	26
13	30	697	14	17
14	726	670	24	16
15	70	418	11	23
16	115	456	17	16
17	734	678	21	22
18	457	627	22	18
19	793	835	10	24
20	70	440	26	29
21	756	515	25	21
22	151	570	16	18
23	297	592	24	16
24	432	339	24	22
25	670	546	22	21
26	60	565	29	25
27	694	589	22	27
28	480	479	13	15
29	81	130	17	12
30	614	647	24	11
31	740	23	10	13
32	191	587	18	22
33	448	31	16	16
34	684	346	15	10
35	681	534	24	21
36	888	137	14	16
37	224	25	13	27
38	359	251	21	17
39	276	182	18	22
40	768	188	22	23
41	888	352	17	12
42	131	173	15	15
43	783	698	17	15
44	377	583	14	11
45	425	693	14	10
46	794	59	14	29
47	78	760	12	21
48	50	425	28	29
49	782	522	18	23
50	112	264	10	11
51	549	150	15	29
52	594	375	26	20
53	141	701	16	19
54	295	433	15	15
55	448	208	19	26
56	113	183	25	10
57	795	133	22	29
58	376	382	26	21
59	662	576	20	18
60	885	342	13	17
61	120	658	16	14
62	657	906	23	16
63	724	922	22	28
64	807	75	15	26
65	601	61	22	19
66	851	812	26	18
67	248	839	5	6
68	889	105	27	19
69	809	622	28	27
70	521	595	11	13
71	295	469	23	21
72	213	7	27	21
73	571	484	26	19
74	327	835	25	28
75	454	119	20	24
76	400	792	25	19
77	456	134	28	14
78	191	527	11	12
79	585	12	27	11
80	920	483	17	28
81	498	353	26	20
82	680	920	10	10
83	704	722	14	19
84	47	510	29	11
85	109	693	19	23
86	556	151	22	11
87	836	630	13	16
88	759	565	22	19
89	475	195	19	15
90	894	606	21	16
91	985	464	12	12
92	882	103	18	19
93	784	248	21	15
94	374	803	15	10
95	656	186	11	3
96	92	819	29	23
97	989	400	10	18
98	133	691	22	24
99	731	59	17	12
100	207	430	22	24
101	732	831	24	10
102	326	888	24	13
103	815	189	18	27
104	213	285	29	16
105	114	762	13	27
106	267	903	26	26
107	897	131	27	25
108	465	821	12	11
109	643	638	22	28
110	560	858	21	17
111	13	925	29	18
112	334	780	29	26
113	254	648	18	10
114	71	440	23	24
115	435	602	23	27
116	581	279	14	21
117	63	76	29	13
118	193	942	25	25
119	811	382	13	21
120	773	696	15	23
121	569	301	10	13
122	334	938	26	27
123	368	591	14	10
124	107	872	29	21
125	713	589	29	27
126	628	418	28	29
127	911	161	12	17
128	924	357	16	13
129	149	132	27	17
130	624	318	27	27
131	241	839	14	12
132	661	691	24	19
133	468	238	10	14
134	440	140	21	24
135	334	571	19	23
136	854	299	27	12
137	964	833	4	11
138	696	103	22	18
139	568	219	14	26
140	119	63	28	22
141	751	11	27	11
142	629	942	18	11
143	333	9	24	24
144	629	178	26	15
145	669	893	26	16
146	817	862	22	19
147	295	732	15	21
148	189	400	27	10
149	911	595	25	26
150	694	200	23	24
151	449	844	28	24
152	543	202	27	18
153	580	479	23	21
154	326	6	24	25
155	474	821	26	21
156	83	639	25	28
157	20	26	24	14
158	440	24	12	15
159	218	246	23	13
160	959	159	16	28
161	68	51	16	14
162	978	418	13	11
163	56	380	12	24
164	928	315	12	14
165	159	522	23	16
166	96	50	26	17
167	363	363	23	25
168	382	798	11	17
169	255	171	19	22
170	72	878	22	16
171	819	590	13	15
172	16	889	13	12
173	200	346	12	14
174	679	360	19	15
175	65	12	10	11
176	845	265	17	26
177	582	512	20	28
178	226	261	26	10
179	562	507	21	25
180	868	208	26	17
181	269	248	28	22
182	848	486	24	26
183	550	490	21	18
184	389	760	14	26
185	507	244	24	15
186	707	733	13	22
187	174	839	24	20
188	774	571	26	15
189	780	561	16	21
190	695	911	24	20
191	525	137	14	25
192	383	800	23	10
193	470	841	16	29
194	703	803	14	21
195	15	961	21	10
196	224	940	18	14
197	896	14	16	12
198	843	506	28	28
199	433	928	26	28
200	399	107	26	21
201	293	562	14	25
202	870	472	18	15
203	15	604	22	14
204	767	422	17	22
205	912	113	17	15
206	284	778	14	26
207	103	137	17	21
208	31	118	14	21
209	565	26	13	14
210	571	741	20	12
211	258	190	17	28
212	921	242	18	10
213	502	495	27	26
214	215	370	16	14
215	596	516	19	15
216	416	617	17	10
217	310	37	29	20
218	530	929	21	15
219	825	807	28	26
220	426	27	19	10
221	460	57	18	27
222	672	194	23	22
223	289	31	22	28
224	313	185	15	26
225	337	213	17	22
226	583	318	12	16
227	650	765	22	22
228	896	74	12	20
229	686	893	17	15
230	759	529	21	12
231	526	252	15	12
232	27	267	19	23
233	104	37	19	19
234	938	62	10	15
235	676	681	24	13
236	749	212	20	14
237	692	652	5	7
238	130	329	21	16
239	629	818	16	23
240	315	66	18	21
241	173	618	12	10
242	578	648	18	23
243	758	656	16	25
244	628	956	20	17
245	342	933	26	29
246	312	153	18	16
247	430	271	21	28
248	972	791	15	22
249	484	649	20	11
250	255	888	17	20
251	723	185	25	29
252	372	395	10	16
253	703	898	25	16
254	678	935	25	16
255	528	75	19	25
256	448	871	16	15
257	850	930	19	23
258	183	587	27	29
259	918	243	20	28
260	418	358	28	12
261	482	834	11	27
262	441	317	12	27
263	537	685	22	10
264	691	522	27	28
265	40	525	12	26
266	558	846	23	13
267	366	431	5	8
268	922	241	14	27
269	33	673	20	14
270	669	72	24	27
271	867	140	13	14
272	201	547	13	14
273	528	575	12	21
274	676	651	28	21
275	421	460	15	16
276	788	528	11	17
277	579	18	12	15
278	798	460	16	29
279	921	550	21	16
280	533	37	26	10
281	916	711	19	10
282	435	124	15	11
283	448	439	16	28
284	59	566	13	28
285	139	964	19	16
286	759	959	12	29
287	563	498	10	22
288	510	453	6	17
289	372	830	11	14
290	289	567	20	17
291	737	571	17	13
292	631	382	26	12
293	395	913	16	28
294	569	619	21	16
295	535	22	10	12
296	531	547	17	16
297	761	667	23	17
298	554	832	15	27
299	298	427	27	18
300	238	573	27	14
301	55	717	15	29
302	559	546	25	13
303	32	136	12	13
304	623	474	17	16
305	695	788	18	22
306	349	857	20	23
307	339	360	26	25
308	437	514	28	20
309	305	722	22	27
310	67	64	29	28
311	285	110	25	18
312	218	468	25	22
313	274	460	10	14
314	494	624	19	25
315	737	854	19	27
316	260	207	25	23
317	481	677	10	19
318	771	539	19	20
319	523	39	23	21
320	12	701	13	13
321	746	112	29	14
322	755	615	27	26
323	364	834	18	22
324	9	305	15	20
325	620	955	26	15
326	33	848	21	20
327	903	203	22	16
328	337	765	29	26
329	467	479	18	18
330	491	64	10	16
331	847	558	26	15
332	958	28	15	16
333	398	839	21	20
334	210	624	18	12
335	209	618	14	23
336	762	627	18	23
337	406	114	13	6
338	508	447	11	28
339	477	459	18	20
340	860	874	26	29
341	32	202	23	29
342	185	249	20	22
343	232	665	19	22
344	635	533	17	24
345	14	348	19	25
346	872	423	26	12
347	377	705	27	12
348	458	239	18	22
349	182	61	14	15
350	156	30	16	26
351	862	494	26	25
352	688	890	21	22
353	311	909	19	22
